run,env,method,n_seed,vis,veracity,influence,sobriety,m_emp,probe_r2,straightness,d_tol_grade,sigma_roll,tr_sigma_z
ext_intact_full_reacher_s3072,dmc,INTACT,9,0.04039761006567876,0.15208512024726123,1.0,0.265625,86.00137426554396,0.5599427180153564,,3.3192740272803976,8.653878354205883,436.11808806649464
ext_intact_full_reacher_s42,dmc,INTACT,9,0.04049930719914016,0.15246798004382178,1.0,0.265625,97.23663304290068,0.5570698625664846,,3.0452192480112092,7.919190734644734,386.1904894387858
ext_intact_full_tworoom_s0,tworoom,INTACT,9,0.03991384301959969,0.29224679091098954,0.971205780221099,0.140625,79.63887397813012,0.8473861179402841,,7.55817220840351,10.080915170616004,30.6836065209579
ext_intact_full_tworoom_s3072,tworoom,INTACT,9,0.01222199828834833,0.22549057250424737,0.8672290395195562,0.0625,71.11278124060361,0.837322989217437,,6.554768515019219,11.440128781048879,22.95219649080862
ext_intact_full_tworoom_s42,tworoom,INTACT,9,0.03834052741646424,0.29579616920500607,0.9217284701483712,0.140625,75.58173455216644,0.8840841279144824,,7.960402057370353,10.483817007130819,33.79221727434286
ext_qantara_cube_s11,cube,Qantara,3,0.8904335719874786,0.9997850632841865,1.0,0.890625,159.8953007854166,0.9001008613652958,0.5117089109694329,10.324472206194164,1.3949044188743835,207.79412571228036
ext_qantara_cube_s22,cube,Qantara,3,0.9062486471969331,0.9999985072517883,1.0,0.90625,197.03408817753282,0.9012775064209192,0.5281157703968233,11.1356909988887,1.1570260594689699,208.75416138090574
ext_qantara_cube_s33,cube,Qantara,3,0.9218739558943434,0.9999988674108132,1.0,0.921875,194.82712280878573,0.9029285996499624,0.523993109498665,11.390681633989594,1.1701760113661492,206.72591962913907
ext_qantara_pusht_s11,pusht,Qantara,9,0.34961983533625046,0.5203644060818612,1.0,0.671875,116.19315918879678,0.7228153685286585,0.4941374531674032,3.8878330795562444,2.749960928582685,194.90551057864002
ext_qantara_pusht_s22,pusht,Qantara,9,0.3863499160505605,0.5151332214007474,1.0,0.75,132.25492404845235,0.85220817123547,0.5159124043337593,3.7103768952695617,2.655974061976853,193.85775307241056
ext_qantara_pusht_s33,pusht,Qantara,9,0.34699359460929835,0.4827736968477195,1.0,0.71875,136.91590840005412,0.9170271481698117,0.537262142562871,3.4526267896038627,2.6655987122686837,193.25048901950424
ext_qantara_reacher_s11,dmc,Qantara,9,0.14488843800830437,0.618190668835432,1.0,0.234375,120.01969691281269,0.5699935988228946,0.08598613153166904,1.1847711905917244,0.6773469877345755,178.86211085705574
ext_qantara_reacher_s22,dmc,Qantara,9,0.128525322126664,0.5875443297218926,1.0,0.21875,116.0626999281855,0.5685678714709055,0.08394951340062635,1.189474497593396,0.7256611496405054,179.25912516032315
ext_qantara_reacher_s33,dmc,Qantara,9,0.19239934689690902,0.6480820106001146,1.0,0.296875,123.43084891870899,0.5705995849693499,0.08576449952882663,1.1827225247008502,0.6352743059099961,177.83040006262758
ext_qantara_tworoom_s11,tworoom,Qantara,9,0.5243149255036919,0.9706905758967161,0.5761560560675643,0.9375,47.244796597540265,0.9845734542425455,-0.04297725125346363,10.481627349823738,2.404815676806506,204.03954574861356
ext_qantara_tworoom_s22,tworoom,Qantara,9,0.5023431147792399,0.9702261555180579,0.5522760365890276,0.9375,45.28663500030026,0.9910854122439408,-0.030721589528988544,10.106522316337836,2.325384791915745,201.04926467286117
ext_qantara_tworoom_s33,tworoom,Qantara,9,0.5201246964436523,0.9695611452816714,0.5819159145296995,0.921875,47.717104991435356,0.9948552134529796,-0.04498516470283434,10.453271071151072,2.4148951207254914,200.61856671122956
ext_rcaux_cube,cube,RC-aux,3,0.36486209650160034,0.8648583028186082,1.0,0.421875,187.29853444095895,0.9884379446565332,0.42338738508251494,8.338512125438477,2.790424279506973,192.12731598523865
ext_rcaux_reacher,dmc,RC-aux,9,0.06998711030805801,0.2986116706477142,1.0,0.234375,176.83838371555836,0.5554511206317885,-0.05175508844113474,1.939069042615194,2.528470467390215,188.44153842043897
ext_rcaux_tworoom,tworoom,RC-aux,9,0.5705287687510497,0.9128460300016796,1.0,0.625,146.95573297312006,0.9878950910829433,-0.36046974221695494,17.57467944309753,5.136976302499428,193.87193099234486
